City,Country,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Codrington,AU,-38.2667,141.9667,53.06,56,87,17.16,11/15/21
Beloha,MG,-25.1667,45.05,82.76,47,10,8.72,11/15/21
Grindavik,IS,63.8424,-22.4338,37.87,81,40,24.16,11/15/21
Venaria Reale,IT,45.1239,7.6354,51.78,90,75,1.01,11/15/21
Cape Town,ZA,-33.9258,18.4232,70.09,73,100,1.99,11/15/21
Vanavara,RU,60.34,102.2797,23.76,92,100,6.15,11/15/21
Kavieng,PG,-2.5744,150.7967,84.6,71,69,10.54,11/15/21
El Alto,PE,-4.2714,-81.2147,61.66,83,52,15.28,11/15/21
São João da Barra,BR,-21.6403,-41.0511,68.58,71,68,8.3,11/15/21
Kapaa,US,22.0752,-159.319,73.38,70,1,5.75,11/15/21
Carnarvon,AU,-24.8667,113.6333,76.1,54,1,16.58,11/15/21
Khani,GE,41.9563,42.9566,42.37,52,100,1.03,11/15/21
Sola,VU,-13.8833,167.55,84.87,79,75,0.0,11/15/21
Puerto Madryn,AR,-42.7692,-65.0385,58.48,32,82,20.71,11/15/21
Saint George,US,37.1041,-113.5841,61.54,43,1,0.0,11/15/21
Port Elizabeth,ZA,-33.918,25.5701,71.73,57,100,3.4,11/15/21
Collie,AU,-33.3667,116.15,82.22,27,82,7.99,11/15/21
Casino,AU,-28.8667,153.05,83.57,15,0,11.36,11/15/21
Bambanglipuro,ID,-7.95,110.2833,66.6,70,100,2.39,11/15/21
Maroantsetra,MG,-15.4333,49.7333,79.27,69,45,2.68,11/15/21
Oranjemund,NA,-28.55,16.4333,65.19,74,29,9.31,11/15/21
Esfarāyen,IR,37.0765,57.5101,49.12,37,0,3.94,11/15/21
Vaini,TO,-21.2,-175.2,75.36,83,20,8.05,11/15/21
Hilo,US,19.7297,-155.09,75.79,90,1,0.0,11/15/21
Ambon City,ID,-3.6954,128.1814,82.53,72,91,4.21,11/15/21
Shelburne,CA,44.0787,-80.2041,30.6,99,100,6.69,11/15/21
Labuhan,ID,-6.8844,112.2051,79.83,81,100,6.11,11/15/21
Iqaluit,CA,63.7506,-68.5145,11.93,79,75,6.91,11/15/21
Komono,JP,35.0,136.5167,66.33,48,1,7.43,11/15/21
Nome,US,64.5011,-165.4064,21.27,73,90,11.5,11/15/21
Bluff,NZ,-46.6,168.3333,54.01,90,98,14.45,11/15/21
Weihai,CN,37.5017,122.1136,54.84,55,93,5.5,11/15/21
Tupik,RU,54.4253,119.9327,23.95,50,23,2.1,11/15/21
Port Alfred,ZA,-33.5906,26.891,71.15,62,95,3.65,11/15/21
Mataura,NZ,-46.1927,168.8643,54.77,95,100,3.51,11/15/21
Dingle,PH,10.9995,122.6711,83.84,78,99,10.45,11/15/21
Mina,MX,26.0011,-100.5299,65.07,75,0,4.41,11/15/21
Bambous Virieux,MU,-20.3428,57.7575,81.21,64,66,12.26,11/15/21
Cañete,CL,-37.8,-73.4,49.32,96,59,4.18,11/15/21
Egvekinot,RU,66.3167,-179.1667,7.88,89,100,7.16,11/15/21
Saldanha,ZA,-33.0117,17.9442,65.39,74,100,11.05,11/15/21
Opuwo,NA,-18.0607,13.84,75.45,46,100,6.58,11/15/21
Rikitea,PF,-23.1203,-134.9692,75.0,76,99,15.1,11/15/21
Sisimiut,GL,66.9395,-53.6735,17.42,77,100,6.31,11/15/21
Vila Velha,BR,-20.3297,-40.2925,60.75,94,40,2.3,11/15/21
Hambantota,LK,6.1241,81.1185,86.34,79,40,13.8,11/15/21
Machico,PT,32.7,-16.7667,66.83,79,20,6.91,11/15/21
Torbay,CA,47.6666,-52.7314,47.57,89,92,3.0,11/15/21
Leningradskiy,RU,69.3833,178.4167,14.86,95,100,7.81,11/15/21
Anadyr,RU,64.75,177.4833,30.7,86,75,17.9,11/15/21
Thompson,CA,55.7435,-97.8558,21.65,89,96,4.97,11/15/21
Pangnirtung,CA,66.1451,-65.7125,-1.5,73,2,5.79,11/15/21
Palmer,US,42.1584,-72.3287,41.61,80,90,1.99,11/15/21
Naze,JP,28.3667,129.4833,66.09,55,77,13.4,11/15/21
Arraial do Cabo,BR,-22.9661,-42.0278,68.92,75,46,16.15,11/15/21
Mahébourg,MU,-20.4081,57.7,81.25,64,55,12.64,11/15/21
Hobart,AU,-42.8794,147.3294,50.02,59,40,4.0,11/15/21
Gimli,CA,50.6336,-96.9907,21.43,94,100,8.52,11/15/21
Akdepe,TM,42.0551,59.3788,32.0,51,4,8.34,11/15/21
San Cristobal,VE,7.7669,-72.225,66.83,92,80,1.28,11/15/21
Ancud,CL,-41.8697,-73.8203,42.33,80,100,12.91,11/15/21
Bosaso,SO,11.2842,49.1816,81.09,56,19,3.2,11/15/21
Barrow,US,71.2906,-156.7887,10.42,67,90,14.97,11/15/21
Abonnema,NG,4.7084,6.7931,76.53,88,88,2.77,11/15/21
Nālūt,LY,30.3333,10.85,55.65,38,0,2.84,11/15/21
Liverpool,GB,53.4106,-2.9779,51.51,89,75,1.01,11/15/21
Mar del Plata,AR,-38.0023,-57.5575,62.87,89,0,15.99,11/15/21
Ponta do Sol,PT,32.6667,-17.1,66.83,66,42,5.14,11/15/21
Muyezerskiy,RU,63.9333,31.65,21.81,81,93,7.05,11/15/21
Qaanaaq,GL,77.484,-69.3632,-6.16,60,50,11.48,11/15/21
Severo-Kuril'sk,RU,50.6789,156.125,41.94,96,100,10.71,11/15/21
Vengerovo,RU,55.6848,76.7471,17.42,92,97,10.63,11/15/21
Puerto Ayora,EC,-0.7393,-90.3518,67.19,82,54,8.23,11/15/21
Kaura Namoda,NG,12.5898,6.5779,75.47,26,99,5.7,11/15/21
Melito di Porto Salvo,IT,37.9222,15.7714,60.15,67,20,4.61,11/15/21
Busselton,AU,-33.65,115.3333,81.05,51,89,12.68,11/15/21
Nacala,MZ,-14.5428,40.6728,86.54,56,3,8.14,11/15/21
Havøysund,NO,70.9963,24.6622,32.23,91,100,13.15,11/15/21
