Date,City,Country,Latitude,Longitude,Max Temp (f),Humidity (%),Cloud Cover (%),Wind Speed (mph)
11/15/21,Busselton,AU,-33.65,115.3333,81.05,51,89,12.68
11/15/21,Saint Paul Harbor,US,57.79,-152.4072,24.31,68,1,3.44
11/15/21,Qaanaaq,GL,77.484,-69.3632,-6.16,60,50,11.48
11/15/21,Touros,BR,-5.1989,-35.4608,79.7,79,15,12.3
11/15/21,Saskylakh,RU,71.9167,114.0833,-6.12,94,99,6.58
11/15/21,Pokhara,NP,28.2333,83.9833,68.16,64,79,5.35
11/15/21,Barrow,US,71.2906,-156.7887,10.42,67,90,12.66
11/15/21,Hasaki,JP,35.7333,140.8333,68.4,56,11,9.66
11/15/21,Ushuaia,AR,-54.8,-68.3,37.06,93,75,25.32
11/15/21,Rikitea,PF,-23.1203,-134.9692,75.0,76,99,15.1
11/15/21,Zhangjiakou,CN,40.81,114.8794,37.15,57,24,1.16
11/15/21,Esperance,AU,-33.8667,121.9,82.24,42,87,15.52
11/15/21,Loandjili,CG,-4.7561,11.8578,77.11,100,75,3.44
11/15/21,Broken Hill,AU,-31.95,141.4333,65.91,37,75,16.11
11/15/21,Hermanus,ZA,-34.4187,19.2345,67.46,66,100,0.78
11/15/21,Windsor,CA,42.3001,-83.0165,37.44,92,90,4.0
11/15/21,Norman Wells,CA,65.282,-126.8329,3.24,78,75,5.75
11/15/21,Laas,IT,46.6166,10.7002,44.06,91,94,2.71
11/15/21,Palmer,US,42.1584,-72.3287,42.22,79,75,1.99
11/15/21,Cayenne,GF,4.9333,-52.3333,80.1,85,0,1.99
11/15/21,Butaritari,KI,3.0707,172.7902,82.22,72,14,15.59
11/15/21,Harper,LR,4.375,-7.7169,77.04,87,52,2.73
11/15/21,Cockburn Town,TC,21.4612,-71.1419,82.22,74,89,14.83
11/15/21,Dera Bugti,PK,29.0307,69.151,77.18,9,0,0.89
11/15/21,Wembley,AU,-31.9333,115.8,80.17,55,20,12.66
11/15/21,Baraya,CO,3.1533,-75.0531,70.18,85,69,3.49
11/15/21,Port Blair,IN,11.6667,92.75,79.47,86,100,14.67
11/15/21,Lakselv,NO,70.0513,24.9718,28.22,80,75,23.02
11/15/21,Hobart,AU,-42.8794,147.3294,51.06,56,40,5.01
11/15/21,Thompson,CA,55.7435,-97.8558,23.16,86,90,3.44
11/15/21,Izyaslav,UA,50.1195,26.8213,41.07,81,67,6.13
11/15/21,Tabou,CI,4.423,-7.3528,77.0,87,57,2.8
11/15/21,Arraial do Cabo,BR,-22.9661,-42.0278,68.92,75,46,16.15
11/15/21,Saint George,US,37.1041,-113.5841,60.53,47,1,0.0
11/15/21,Santa Maria,BR,-29.6842,-53.8069,65.93,96,92,4.81
11/15/21,Khatanga,RU,71.9667,102.5,-2.13,98,100,5.03
11/15/21,Chokurdakh,RU,70.6333,147.9167,1.47,97,100,0.54
11/15/21,East London,ZA,-33.0153,27.9116,68.94,77,0,2.3
11/15/21,Bandar-e Lengeh,IR,26.5579,54.8807,80.71,32,0,16.11
11/15/21,Bluff,NZ,-46.6,168.3333,54.01,90,98,14.45
11/15/21,Plettenberg Bay,ZA,-34.0527,23.3716,70.21,53,100,2.1
11/15/21,San Patricio,US,28.017,-97.5169,73.24,78,0,7.61
11/15/21,Tegul'det,RU,57.3064,88.1667,27.7,90,100,8.75
11/15/21,Beckley,US,37.7782,-81.1882,35.49,70,75,5.01
11/15/21,Mar del Plata,AR,-38.0023,-57.5575,61.88,88,0,15.99
11/15/21,Oddur,SO,4.1213,43.8894,80.33,61,17,13.49
11/15/21,Port Lincoln,AU,-34.7333,135.8667,58.19,59,96,15.48
11/15/21,Hilo,US,19.7297,-155.09,75.79,90,20,3.44
11/15/21,San Andrés,CO,12.5847,-81.7006,84.22,79,40,10.36
11/15/21,Narsaq,GL,60.9167,-46.05,8.82,73,2,5.17
11/15/21,Tuatapere,NZ,-46.1333,167.6833,54.14,81,100,4.81
11/15/21,Kapaa,US,22.0752,-159.319,73.72,68,1,3.44
11/15/21,Lipin Bor,RU,60.2622,37.9763,27.46,77,90,6.46
11/15/21,Ribeira Grande,PT,38.5167,-28.7,67.89,83,75,16.91
11/15/21,Keuruu,FI,62.2667,24.7,27.75,79,97,7.2
11/15/21,Tara,RU,56.8944,74.371,14.72,76,100,8.19
11/15/21,Karakol,KG,42.4907,78.3936,33.08,73,100,8.66
11/15/21,Batticaloa,LK,7.7102,81.6924,84.42,68,17,2.46
11/15/21,Mangai,CD,-4.05,19.5333,73.45,84,93,0.65
11/15/21,Río Gallegos,AR,-51.6226,-69.2181,37.45,81,90,29.93
11/15/21,Punta Arenas,CL,-53.15,-70.9167,41.11,48,75,18.41
11/15/21,Poros,GR,37.4994,23.4536,62.37,75,100,7.4
11/15/21,Port Elizabeth,ZA,-33.918,25.5701,66.49,82,0,3.44
11/15/21,Ancud,CL,-41.8697,-73.8203,42.33,80,100,12.91
11/15/21,Kyra,RU,49.5776,111.9753,32.79,41,14,3.4
11/15/21,Kandrian,PG,-6.2167,149.55,83.35,79,100,5.1
11/15/21,Benghazi,LY,32.1167,20.0667,67.06,59,24,26.62
11/15/21,Adrar,MR,20.5022,-10.0711,69.15,37,17,8.59
11/15/21,Tasiilaq,GL,65.6145,-37.6368,30.36,57,45,10.94
11/15/21,Port Alfred,ZA,-33.5906,26.891,71.15,62,95,3.65
11/15/21,Dingle,PH,10.9995,122.6711,83.84,78,99,10.45
11/15/21,Mataura,NZ,-46.1927,168.8643,54.77,95,100,3.51
11/15/21,Bonthe,SL,7.5264,-12.505,76.39,82,70,3.22
11/15/21,Inhambane,MZ,-23.865,35.3833,78.69,71,70,7.52
11/15/21,Mareeba,AU,-17.0,145.4333,87.44,64,100,8.28
11/15/21,Podor,MR,16.6527,-14.9587,82.27,30,84,8.03
11/15/21,Mackay,AU,-21.15,149.2,88.68,54,0,13.8
11/15/21,Ilulissat,GL,69.2167,-51.1,-3.03,91,100,4.54
11/15/21,Kieta,PG,-6.2167,155.6333,82.78,77,98,3.13
11/15/21,Vestmanna,FO,62.1564,-7.1664,43.72,87,75,12.66
11/15/21,Nikolskoye,RU,59.7035,30.7861,32.02,81,70,1.66
11/15/21,Manaure,CO,11.7751,-72.4445,78.3,82,35,9.62
11/15/21,Peruíbe,BR,-24.32,-46.9983,67.05,87,81,4.07
11/15/21,Iqaluit,CA,63.7506,-68.5145,11.93,85,75,4.61
11/15/21,New Norfolk,AU,-42.7826,147.0587,50.72,52,51,11.34
11/15/21,Nilópolis,BR,-22.8075,-43.4139,65.91,72,0,5.75
11/15/21,Atuona,PF,-9.8,-139.0333,78.48,72,4,16.93
11/15/21,Bethel,US,41.3712,-73.414,42.89,86,90,1.01
11/15/21,Saint-Augustin,CA,51.226,-58.6502,30.49,86,80,9.89
11/15/21,Jamestown,US,42.097,-79.2353,34.92,96,90,5.99
11/15/21,Roebourne,AU,-20.7833,117.1333,93.04,21,63,14.85
11/15/21,Codrington,AU,-38.2667,141.9667,53.06,56,87,17.16
11/15/21,Tela,HN,15.7833,-87.45,73.62,94,59,6.76
11/15/21,Albany,US,42.6001,-73.9662,38.17,90,100,6.33
11/15/21,Yangi Marg`ilon,UZ,40.4272,71.7189,50.72,62,40,9.22
11/15/21,Hervey Bay,AU,-25.2986,152.8535,84.04,63,0,13.98
11/15/21,Kitimat,CA,54.0524,-128.6534,37.9,30,100,3.67
11/15/21,Saldanha,ZA,-33.0117,17.9442,65.39,74,100,11.05
11/15/21,Poya,NC,-21.35,165.15,81.59,71,88,7.16
11/15/21,Naze,JP,28.3667,129.4833,68.92,55,77,13.4
11/15/21,San Rafael,AR,-34.6177,-68.3301,64.81,36,0,5.75
11/15/21,Mtwara,TZ,-10.2667,40.1833,83.5,63,38,8.63
11/15/21,Marzuq,YE,14.4,46.4667,71.89,31,5,2.91
11/15/21,Fortuna,US,40.5982,-124.1573,56.35,65,1,1.99
11/15/21,Kamenka,RU,51.3223,42.7678,33.06,94,100,12.46
11/15/21,Sovetskiy,RU,61.3614,63.5842,18.3,84,100,10.09
11/15/21,Krasnosel'kup,RU,65.7,82.4667,-3.96,98,84,9.62
11/15/21,Bengkulu,ID,-3.8004,102.2655,83.89,68,67,8.03
11/15/21,Castro,BR,-24.7911,-50.0119,55.63,92,99,5.73
11/15/21,George Town,MY,5.4112,100.3354,89.53,70,20,7.0
11/15/21,Yellowknife,CA,62.456,-114.3525,16.32,100,90,10.36
11/15/21,Kavieng,PG,-2.5744,150.7967,84.6,71,69,10.54
11/15/21,Jacareacanga,BR,-6.2222,-57.7528,74.75,88,97,2.06
11/15/21,Avarua,CK,-21.2078,-159.775,73.45,78,20,2.3
11/15/21,Edmonds,US,47.8107,-122.3774,63.01,93,90,4.0
11/15/21,Cape Town,ZA,-33.9258,18.4232,67.1,77,40,1.99
11/15/21,Necochea,AR,-38.5473,-58.7368,52.03,76,21,11.59
11/15/21,Provideniya,RU,64.3833,-173.3,24.91,80,90,13.42
11/15/21,Meulaboh,ID,4.1363,96.1285,84.52,66,92,6.35
11/15/21,Souillac,MU,-20.5167,57.5167,82.78,65,40,11.5
11/15/21,Gigmoto,PH,13.7796,124.39,82.47,82,86,10.36
11/15/21,Ponta do Sol,PT,32.6667,-17.1,66.83,66,42,5.14
11/15/21,Denpasar,ID,-8.65,115.2167,83.86,74,75,1.14
11/15/21,Constitución,CL,-35.3333,-72.4167,48.78,89,12,7.18
11/15/21,Pisco,PE,-13.7,-76.2167,60.03,88,71,3.44
11/15/21,Bredasdorp,ZA,-34.5322,20.0403,69.21,51,100,2.1
11/15/21,Batagay-Alyta,RU,67.8006,130.4114,-17.41,90,76,3.65
11/15/21,Ribeira Brava,PT,32.65,-17.0667,66.83,67,40,5.41
11/15/21,Neiafu,TO,-18.65,-173.9833,81.28,65,40,6.91
11/15/21,Kruisfontein,ZA,-34.0033,24.7314,74.07,43,100,2.53
11/15/21,Emerald,AU,-23.5333,148.1667,89.35,18,0,4.61
11/15/21,Rawson,AR,-43.3002,-65.1023,57.76,28,97,20.22
11/15/21,Tuktoyaktuk,CA,69.4541,-133.0374,6.8,85,75,9.22
11/15/21,Tomatlán,MX,19.9333,-105.25,70.29,85,4,3.83
11/15/21,Asău,RO,46.4333,26.4,44.96,71,92,3.98
11/15/21,Motema,SL,8.6,-11.0333,65.34,85,44,1.25
11/15/21,Leningradskiy,RU,69.3833,178.4167,14.86,95,100,7.81
11/15/21,Hithadhoo,MV,-0.6,73.0833,82.54,72,93,10.89
11/15/21,Tarko-Sale,RU,64.9225,77.785,-4.34,100,85,8.52
11/15/21,Bandarbeyla,SO,9.4942,50.8122,81.25,61,49,11.18
11/15/21,São João da Barra,BR,-21.6403,-41.0511,68.58,71,68,8.3
11/15/21,Tual,ID,-5.6667,132.75,81.16,74,100,4.56
11/15/21,Tawang Town,IN,27.5833,91.8667,54.01,42,5,8.32
11/15/21,Coquimbo,CL,-29.9533,-71.3436,55.13,94,20,5.75
11/15/21,Arcata,US,40.8665,-124.0828,56.62,97,1,3.44
11/15/21,Udachny,RU,66.4167,112.4,-13.58,99,55,4.45
11/15/21,Vaini,TO,-21.2,-175.2,78.96,78,20,8.05
11/15/21,Osmeña,PH,10.5208,119.9258,83.16,78,65,12.97
11/15/21,Hinton,CA,53.4001,-117.5857,36.1,95,45,3.44
11/15/21,Port Alberni,CA,49.2413,-124.8028,47.91,95,100,1.01
11/15/21,Aquiraz,BR,-3.9014,-38.3911,84.22,67,12,10.8
11/15/21,Port-Gentil,GA,-0.7193,8.7815,76.96,94,75,2.3
11/15/21,Lorengau,PG,-2.0226,147.2712,84.7,66,83,6.31
11/15/21,Tisul',RU,55.7611,88.3122,29.89,82,100,12.86
11/15/21,Vao,NC,-22.6667,167.4833,77.18,77,76,11.56
11/15/21,Kashary,RU,49.04,41.0056,34.14,76,67,8.41
11/15/21,Myślibórz,PL,52.9238,14.8679,34.88,96,4,7.54
11/15/21,Bilibino,RU,68.0546,166.4372,5.68,97,98,4.05
11/15/21,Anadyr,RU,64.75,177.4833,30.7,86,75,17.9
11/15/21,Bambanglipuro,ID,-7.95,110.2833,66.6,70,100,2.39
11/15/21,Okato,NZ,-39.2,173.8833,63.43,88,34,14.0
11/15/21,Ahipara,NZ,-35.1667,173.1667,64.27,87,0,11.48
11/15/21,Ulladulla,AU,-35.35,150.4667,67.1,44,44,2.89
11/15/21,Szczytno,PL,53.5626,20.9875,39.13,87,90,4.61
11/15/21,Council Bluffs,US,41.2619,-95.8608,43.57,77,75,10.36
11/15/21,Santa Rosa,PH,14.3122,121.1114,88.11,61,36,12.91
11/15/21,Sioux Lookout,CA,50.1001,-91.917,21.58,100,81,0.49
11/15/21,Lubuagan,PH,17.3548,121.1747,75.61,82,86,4.41
11/15/21,Salalah,OM,17.0151,54.0924,80.69,50,0,1.14
11/15/21,Mahajanga,MG,-15.7167,46.3167,84.22,70,40,6.91
11/15/21,Iralaya,HN,15.0,-83.2333,78.53,84,99,11.12
11/15/21,Grindavik,IS,63.8424,-22.4338,37.87,81,40,24.16
