Date,City,Country,Latitude,Longitude,Max Temp (f),Humidity (%),Cloud Cover (%),Wind Speed (mph)
11/16/21,Provideniya,RU,64.3833,-173.3,21.31,68,75,13.42
11/16/21,Cape Town,ZA,-33.9258,18.4232,68.11,71,20,5.75
11/16/21,Ushuaia,AR,-54.8,-68.3,44.26,61,20,0.0
11/16/21,Albany,US,42.6001,-73.9662,36.09,78,21,1.01
11/16/21,São João da Barra,BR,-21.6403,-41.0511,68.27,86,36,8.57
11/16/21,Mahébourg,MU,-20.4081,57.7,82.26,69,75,11.5
11/16/21,Tuktoyaktuk,CA,69.4541,-133.0374,-11.2,84,20,5.75
11/16/21,Jamestown,US,42.097,-79.2353,35.51,97,90,7.0
11/16/21,Bubaque,GW,11.2833,-15.8333,82.11,73,19,9.37
11/16/21,Abhā,SA,18.2164,42.5053,61.05,48,0,0.0
11/16/21,Penha,BR,-26.7694,-48.6458,68.72,92,99,6.64
11/16/21,Acapulco de Juárez,MX,16.8634,-99.8901,75.38,74,21,4.41
11/16/21,Khatanga,RU,71.9667,102.5,-27.47,100,90,2.01
11/16/21,Westport,US,41.1415,-73.3579,42.62,68,1,1.01
11/16/21,Charlottesville,US,38.0293,-78.4767,38.28,80,56,1.01
11/16/21,Mataura,NZ,-46.1927,168.8643,51.67,71,100,10.04
11/16/21,Sassandra,CI,4.95,-6.0833,76.01,88,62,2.95
11/16/21,Florø,NO,61.5996,5.0328,49.96,87,75,18.41
11/16/21,Inuvik,CA,68.3499,-133.7218,0.46,85,90,0.0
11/16/21,Kapaa,US,22.0752,-159.319,75.18,82,75,3.44
11/16/21,Kedrovyy,RU,56.1667,91.8167,23.41,91,100,8.75
11/16/21,Tautira,PF,-17.7333,-149.15,80.62,81,55,13.85
11/16/21,Sobolevo,RU,54.4299,31.8996,24.71,91,56,7.43
11/16/21,Hobart,AU,-42.8794,147.3294,59.05,55,75,3.0
11/16/21,Lebu,CL,-37.6167,-73.65,48.52,83,0,18.25
11/16/21,Norman Wells,CA,65.282,-126.8329,-2.16,78,75,6.91
11/16/21,Ponta do Sol,PT,32.6667,-17.1,66.83,65,97,4.68
11/16/21,Gaoual,GN,11.75,-13.2,71.44,68,6,0.83
11/16/21,Coquimbo,CL,-29.9533,-71.3436,55.13,87,0,2.3
11/16/21,Rikitea,PF,-23.1203,-134.9692,74.08,84,99,14.0
11/16/21,Ancud,CL,-41.8697,-73.8203,40.42,81,2,5.1
11/16/21,Tchaourou,BJ,8.8865,2.5975,73.74,80,77,3.8
11/16/21,Hilo,US,19.7297,-155.09,75.79,90,20,0.0
11/16/21,Yumen,CN,40.2833,97.2,38.34,24,100,21.72
11/16/21,Bethel,US,41.3712,-73.414,40.57,72,1,1.01
11/16/21,Busselton,AU,-33.65,115.3333,74.28,56,1,11.41
11/16/21,Hermanus,ZA,-34.4187,19.2345,65.89,72,100,3.94
11/16/21,Kaitangata,NZ,-46.2817,169.8464,55.99,51,95,13.53
11/16/21,Bay Roberts,CA,47.5999,-53.2648,46.06,91,100,7.0
11/16/21,Torbay,CA,47.6666,-52.7314,45.28,95,90,32.21
11/16/21,Gorontalo,ID,0.5412,123.0595,85.17,69,100,3.91
11/16/21,Bambous Virieux,MU,-20.3428,57.7575,82.22,69,75,11.5
11/16/21,Atuona,PF,-9.8,-139.0333,78.51,73,23,14.65
11/16/21,Avarua,CK,-21.2078,-159.775,73.45,88,75,6.91
11/16/21,Bluff,NZ,-46.6,168.3333,51.78,73,100,30.56
11/16/21,Eilat,IL,29.5581,34.9482,62.44,63,20,0.0
11/16/21,Puerto Ayora,EC,-0.7393,-90.3518,68.52,79,49,8.7
11/16/21,Carnarvon,AU,-24.8667,113.6333,75.27,57,10,17.27
11/16/21,Edd,ER,13.9297,41.6925,88.88,33,42,11.65
11/16/21,Dingle,PH,10.9995,122.6711,83.97,79,98,10.92
11/16/21,Murray Bridge,AU,-35.1167,139.2667,69.31,45,98,12.1
11/16/21,Gambiran,ID,-6.7988,111.4951,81.7,74,100,3.18
11/16/21,San Jerónimo,PE,-11.9472,-75.2829,49.14,90,100,1.97
11/16/21,Punta Arenas,CL,-53.15,-70.9167,46.51,53,75,18.41
11/16/21,Castro,BR,-24.7911,-50.0119,57.15,94,69,4.09
11/16/21,Kavieng,PG,-2.5744,150.7967,84.13,70,100,8.14
11/16/21,Portland,US,45.5234,-122.6762,45.28,90,84,1.01
11/16/21,Monterrey,MX,25.6667,-100.3167,67.57,73,0,2.06
11/16/21,Hong Kong,HK,22.2855,114.1577,80.96,66,94,1.01
11/16/21,Paliseul,BE,49.904,5.1354,40.12,81,100,1.07
11/16/21,Port Alfred,ZA,-33.5906,26.891,69.51,68,82,19.62
11/16/21,Chumikan,RU,54.7183,135.315,16.14,71,21,20.8
11/16/21,Beira,MZ,-19.8436,34.8389,80.69,78,40,10.0
11/16/21,Cabo San Lucas,MX,22.8909,-109.9124,78.51,70,100,0.78
11/16/21,Xingcheng,CN,40.6167,120.7167,47.1,58,0,7.4
11/16/21,Chara,RU,56.9064,118.2631,16.3,88,66,0.51
11/16/21,Qaanaaq,GL,77.484,-69.3632,1.65,87,100,9.28
11/16/21,Hukuntsi,BW,-24.0,21.75,83.91,21,55,7.2
11/16/21,Laguna,US,38.421,-121.4238,59.02,93,90,4.61
11/16/21,Port Elizabeth,ZA,-33.918,25.5701,71.1,70,92,18.39
11/16/21,Vaini,TO,-21.2,-175.2,78.96,83,20,9.22
11/16/21,Lydenburg,ZA,-25.0978,30.4597,77.61,48,6,4.21
11/16/21,Butaritari,KI,3.0707,172.7902,83.14,69,91,16.15
11/16/21,Hithadhoo,MV,-0.6,73.0833,82.85,71,56,15.9
11/16/21,Dikson,RU,73.5069,80.5464,-13.41,97,48,6.44
11/16/21,New Norfolk,AU,-42.7826,147.0587,58.71,56,98,5.01
11/16/21,Gornopravdinsk,RU,60.05,69.9,15.66,89,100,9.89
11/16/21,Tirumullaivāsal,IN,11.2333,79.8333,83.84,74,85,5.17
11/16/21,Bredasdorp,ZA,-34.5322,20.0403,63.28,64,100,6.22
11/16/21,Cilegon,ID,-6.0174,106.0538,93.09,66,88,13.27
11/16/21,Kalmunai,LK,7.4167,81.8167,85.17,68,90,4.45
11/16/21,Clyde River,CA,70.4692,-68.5914,1.08,83,94,4.05
11/16/21,Bereda,ES,43.2686,-7.5406,44.35,99,81,3.29
11/16/21,Bullhead City,US,35.1478,-114.5683,71.02,27,39,1.99
11/16/21,Rabat,MA,33.9911,-6.8401,53.67,98,40,0.0
11/16/21,Morón,AR,-34.6534,-58.6198,73.15,95,53,11.34
11/16/21,Qaqortoq,GL,60.7167,-46.0333,10.9,69,0,4.88
11/16/21,Knysna,ZA,-34.0363,23.0471,62.98,85,100,7.31
11/16/21,Meulaboh,ID,4.1363,96.1285,84.11,68,97,6.17
11/16/21,Siilinjärvi,FI,63.0833,27.6667,39.22,87,90,11.5
11/16/21,Alyangula,AU,-13.8483,136.4192,91.27,29,100,12.66
11/16/21,Banjar,ID,-8.19,114.9675,85.86,81,100,3.22
11/16/21,Ampanihy,MG,-24.7,44.75,83.12,47,27,5.35
11/16/21,Souillac,MU,-20.5167,57.5167,82.36,69,75,11.5
11/16/21,Bengkulu,ID,-3.8004,102.2655,83.91,64,100,4.61
11/16/21,Palana,RU,59.1167,159.9667,30.69,73,100,17.9
11/16/21,Ribeira Grande,PT,38.5167,-28.7,67.68,83,8,13.38
11/16/21,Kilindoni,TZ,-7.9139,39.6668,81.63,67,8,8.63
11/16/21,Lüderitz,NA,-26.6481,15.1594,69.64,53,8,17.69
11/16/21,Nikolskoye,RU,59.7035,30.7861,36.88,84,64,12.3
11/16/21,Cherskiy,RU,68.75,161.3,22.64,80,100,9.31
11/16/21,Ribeira Brava,PT,32.65,-17.0667,66.83,66,97,4.79
11/16/21,Te Anau,NZ,-45.4167,167.7167,44.47,94,94,7.02
11/16/21,Arraial do Cabo,BR,-22.9661,-42.0278,71.46,73,0,12.66
11/16/21,Santa Isabel Rio Negro,BR,-0.4139,-65.0192,75.18,90,97,2.13
11/16/21,Mar del Plata,AR,-38.0023,-57.5575,59.02,93,90,11.99
11/16/21,Mana,GF,5.6592,-53.7767,76.69,89,55,8.12
11/16/21,Bonthe,SL,7.5264,-12.505,78.53,81,42,2.62
11/16/21,Isangel,VU,-19.55,169.2667,80.71,78,75,5.75
